City_origin,Country_origin,Latitude_origin,Longitude_origin,departure_iataCode
Marseille,France,43.439271922,5.22142410278,MRS
Maastricht,Netherlands,50.911701,5.7701400000000005,MST
Munich,Germany,48.353802,11.7861,MUC
Munich,Germany,48.353802,11.7861,MUC
Milano,Italy,45.6306,8.728110000000001,MXP
Milano,Italy,45.6306,8.728110000000001,MXP
Naples,Italy,40.886002000000005,14.2908,NAP
Newcastle,United Kingdom,55.03749847412109,-1.6916699409484863,NCL
Newcastle,United Kingdom,55.03749847412109,-1.6916699409484863,NCL
Connaught,Ireland,53.9103012084961,-8.818490028381348,NOC
Weeze,Germany,51.6024017334,6.14216995239,NRN
Porto,Portugal,41.2481002808,-8.68138980865,OPO
Cork,Ireland,51.84130096435547,-8.491109848022461,ORK
Cork,Ireland,51.84130096435547,-8.491109848022461,ORK
Paris,France,48.7233333,2.3794444,ORY
Paris,France,48.7233333,2.3794444,ORY
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Ostend,Belgium,51.1988983154,2.8622200489,OST
Ostend,Belgium,51.1988983154,2.8622200489,OST
Bucharest,Romania,44.5711111,26.085,OTP
Bucharest,Romania,44.5711111,26.085,OTP
Aviles,Spain,43.5635986328125,-6.0346198081970215,OVD
Aviles,Spain,43.5635986328125,-6.0346198081970215,OVD
Prestwick,United Kingdom,55.5093994140625,-4.586669921875,PIK
Palma de Mallorca,Spain,39.551700592,2.73881006241,PMI
Palma de Mallorca,Spain,39.551700592,2.73881006241,PMI
Palma de Mallorca,Spain,39.551700592,2.73881006241,PMI
Prague,Czech Republic,50.1008,14.26,PRG
Prague,Czech Republic,50.1008,14.26,PRG
Prague,Czech Republic,50.1008,14.26,PRG
Pisa,Italy,43.683899,10.3927,PSA
Riga,Latvia,56.92359924316406,23.971099853515625,RIX
Riga,Latvia,56.92359924316406,23.971099853515625,RIX
Rotterdam,Netherlands,51.956902,4.43722,RTM
Santiago,Spain,42.89630126953125,-8.415140151977539,SCQ
Santiago,Spain,42.89630126953125,-8.415140151977539,SCQ
Santander,Spain,43.42710113525391,-3.82000994682312,SDR
Shannon,Ireland,52.702,-8.92482,SNN
London,United Kingdom,51.8849983215,0.234999999404,STN
London,United Kingdom,51.8849983215,0.234999999404,STN
London,United Kingdom,51.8849983215,0.234999999404,STN
London,United Kingdom,51.8849983215,0.234999999404,STN
Stuttgart,Germany,48.6898994446,9.22196006775,STR
Stavanger,Norway,58.876701354,5.637780189500001,SVG
Moscow,Russia,55.972599,37.4146,SVO
Sevilla,Spain,37.41799926757813,-5.8931097984313965,SVQ
Sandefjord,Norway,59.1866989136,10.258600235,TRF
Torino,Italy,45.200802,7.64963,TRN
Treviso,Italy,45.648399,12.1944,TSF
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vitoria,Spain,42.8828010559082,-2.7244699001312256,VIT
Valencia,Spain,39.4893,-0.481625,VLC
Valencia,Spain,39.4893,-0.481625,VLC
Zagreb,Croatia,45.742900848400005,16.0687999725,ZAG
Zurich,Switzerland,47.464699,8.54917,ZRH
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aberdeen,United Kingdom,57.20190048217773,-2.1977798938751216,ABZ
Izmir,Turkey,38.2924003601,27.156999588,ADB
Izmir,Turkey,38.2924003601,27.156999588,ADB
Alesund,Norway,62.5625,6.119699954986572,AES
Akureyri,Iceland,65.66000366210939,-18.07270050048828,AEY
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Antwerp,Belgium,51.1893997192,4.46027994156,ANR
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Kayseri,Turkey,38.770401001,35.4953994751,ASR
Kayseri,Turkey,38.770401001,35.4953994751,ASR
Athens,Greece,37.9364013672,23.9444999695,ATH
Athens,Greece,37.9364013672,23.9444999695,ATH
Athens,Greece,37.9364013672,23.9444999695,ATH
Antalya,Turkey,36.898701,30.800501,AYT
Barcelona,Spain,41.2971,2.07846,BCN
Barcelona,Spain,41.2971,2.07846,BCN
Barcelona,Spain,41.2971,2.07846,BCN
Belgrade,Serbia,44.8184013367,20.3090991974,BEG
Belgrade,Serbia,44.8184013367,20.3090991974,BEG
Belfast,United Kingdom,54.6575012207,-6.21582984924,BFS
Bergen,Norway,60.29339981,5.218140125,BGO
Bergamo,Italy,45.673901,9.70417,BGY
Belfast,United Kingdom,54.61809921264648,-5.872499942779541,BHD
Birmingham,United Kingdom,52.4538993835,-1.7480299472799998,BHX
Birmingham,United Kingdom,52.4538993835,-1.7480299472799998,BHX
Birmingham,United Kingdom,52.4538993835,-1.7480299472799998,BHX
Bilbao,Spain,43.30110168457031,-2.9106099605560303,BIO
Bilbao,Spain,43.30110168457031,-2.9106099605560303,BIO
Billund,Denmark,55.7402992249,9.15178012848,BLL
Bologna,Italy,44.5354,11.2887,BLQ
Bordeaux,France,44.8283004761,-0.7155560255050001,BOD
Bourgas,Bulgaria,42.56959915161133,27.515199661254886,BOJ
Bremen,Germany,53.0475006104,8.78666973114,BRE
Bari,Italy,41.138901,16.760599,BRI
Bristol,United Kingdom,51.382702,-2.71909,BRS
Bristol,United Kingdom,51.382702,-2.71909,BRS
Brussels,Belgium,50.9014015198,4.48443984985,BRU
Brussels,Belgium,50.9014015198,4.48443984985,BRU
Mulhouse,France,47.59,7.5291667,BSL
Mulhouse,France,47.59,7.5291667,BSL
Budapest,Hungary,47.42976,19.261093,BUD
Budapest,Hungary,47.42976,19.261093,BUD
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Catania,Italy,37.466801,15.0664,CTA
Catania,Italy,37.466801,15.0664,CTA
Cardiff,United Kingdom,51.39670181274414,-3.343329906463623,CWL
Moscow,Russia,55.40879821777344,37.90629959106445,DME
Dresden,Germany,51.1328010559082,13.767200469970703,DRS
Dublin,Ireland,53.421299,-6.27007,DUB
Dublin,Ireland,53.421299,-6.27007,DUB
Dublin,Ireland,53.421299,-6.27007,DUB
Duesseldorf,Germany,51.289501,6.766780000000001,DUS
Edinburgh,United Kingdom,55.95000076293945,-3.372499942779541,EDI
Edinburgh,United Kingdom,55.95000076293945,-3.372499942779541,EDI
Eindhoven,Netherlands,51.4500999451,5.374529838559999,EIN
East Midlands,United Kingdom,52.8311004639,-1.32806003094,EMA
Ankara,Turkey,40.1281013489,32.995098114,ESB
Ankara,Turkey,40.1281013489,32.995098114,ESB
Faro,Portugal,37.0144004822,-7.965909957889999,FAO
Faro,Portugal,37.0144004822,-7.965909957889999,FAO
Rome,Italy,41.8002778,12.2388889,FCO
Rome,Italy,41.8002778,12.2388889,FCO
Rome,Italy,41.8002778,12.2388889,FCO
Rome,Italy,41.8002778,12.2388889,FCO
Florence,Italy,43.810001,11.2051,FLR
Florence,Italy,43.810001,11.2051,FLR
Frankfurt,Germany,50.033333,8.570556,FRA
Frankfurt,Germany,50.033333,8.570556,FRA
Gdansk,Poland,54.37760162353516,18.46619987487793,GDN
Glasgow,United Kingdom,55.8718986511,-4.43306016922,GLA
Glasgow,United Kingdom,55.8718986511,-4.43306016922,GLA
Genoa,Italy,44.4133,8.8375,GOA
Gothenborg,Sweden,57.662799835205,12.279800415039,GOT
Groningen,Netherlands,53.1197013855,6.579440116880001,GRQ
Groningen,Netherlands,53.1197013855,6.579440116880001,GRQ
Graz,Austria,46.9911003112793,15.439599990844728,GRZ
Geneva,Switzerland,46.23809814453125,6.108950138092041,GVA
Geneva,Switzerland,46.23809814453125,6.108950138092041,GVA
Geneva,Switzerland,46.23809814453125,6.108950138092041,GVA
Hannover,Germany,52.461101532,9.68507957458,HAJ
Hamburg,Germany,53.630401611328,9.988229751586902,HAM
Hamburg,Germany,53.630401611328,9.988229751586902,HAM
Helsinki,Finland,60.317199707031,24.963300704956,HEL
Helsinki,Finland,60.317199707031,24.963300704956,HEL
Helsinki,Finland,60.317199707031,24.963300704956,HEL
Heraklion,Greece,35.3396987915,25.1802997589,HER
Humberside,United Kingdom,53.57440185546875,-0.350832998752594,HUY
Ibiza,Spain,38.8728981018,1.3731199502899998,IBZ
Innsbruck,Austria,47.260201,11.344,INN
Innsbruck,Austria,47.260201,11.344,INN
Istanbul,Turkey,40.976898,28.8146,ISL
Istanbul,Turkey,41.275278,28.751944,IST
Istanbul,Turkey,41.275278,28.751944,IST
Ivalo,Finland,68.607299804688,27.405300140381,IVL
Ivalo,Finland,68.607299804688,27.405300140381,IVL
Kuusamo,Finland,65.98760223388699,29.239400863647,KAO
Kiev,Ukraine,50.34500122070313,30.89469909667969,KBP
Kiev,Ukraine,50.34500122070313,30.89469909667969,KBP
Keflavik,Iceland,63.985000610352,-22.605600357056,KEF
Keflavik,Iceland,63.985000610352,-22.605600357056,KEF
Keflavik,Iceland,63.985000610352,-22.605600357056,KEF
Krakow,Poland,50.077702,19.7848,KRK
Kristiansand,Norway,58.204201,8.08537,KRS
Kittila,Finland,67.700996398926,24.846799850464,KTT
Kittila,Finland,67.700996398926,24.846799850464,KTT
Kittila,Finland,67.700996398926,24.846799850464,KTT
Konya,Turkey,37.979,32.561901,KYA
Konya,Turkey,37.979,32.561901,KYA
Leeds,United Kingdom,53.86589813232422,-1.6605700254440308,LBA
Leeds,United Kingdom,53.86589813232422,-1.6605700254440308,LBA
Larnaca,Cyprus,34.875099182128906,33.62490081787109,LCA
London,United Kingdom,51.505299,0.0552779999999999,LCY
London,United Kingdom,51.505299,0.0552779999999999,LCY
St. Petersburg,Russia,59.80030059814453,30.26250076293945,LED
St. Petersburg,Russia,59.80030059814453,30.26250076293945,LED
Leipzig,Germany,51.423889,12.236389,LEJ
Leipzig,Germany,51.423889,12.236389,LEJ
London,United Kingdom,51.148102,-0.190278,LGW
London,United Kingdom,51.148102,-0.190278,LGW
London,United Kingdom,51.4706,-0.461941,LHR
London,United Kingdom,51.4706,-0.461941,LHR
London,United Kingdom,51.4706,-0.461941,LHR
Lille,France,50.563332,3.086886,LIL
Milan,Italy,45.445099,9.27674,LIN
Milan,Italy,45.445099,9.27674,LIN
Milan,Italy,45.445099,9.27674,LIN
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Lisbon,Portugal,38.7813,-9.13592,LIS
Ljubljana,Slovenia,46.223701,14.4576,LJU
Lulea,Sweden,65.543800354004,22.121999740601,LLA
Linkoeping,Sweden,58.406200408900006,15.6805000305,LPI
Liverpool,United Kingdom,53.33359909057617,-2.849720001220703,LPL
London,United Kingdom,51.87469863891602,-0.3683330118656158,LTN
London,United Kingdom,51.87469863891602,-0.3683330118656158,LTN
Luxemburg,Luxembourg,49.6233333,6.204444400000001,LUX
Lyon,France,45.725556,5.081111,LYS
Madrid,Spain,40.471926,-3.56264,MAD
Madrid,Spain,40.471926,-3.56264,MAD
Madrid,Spain,40.471926,-3.56264,MAD
Madrid,Spain,40.471926,-3.56264,MAD
Manchester,United Kingdom,53.35369873046875,-2.2749500274658203,MAN
Manchester,United Kingdom,53.35369873046875,-2.2749500274658203,MAN
Malta,Malta,35.857498,14.4775,MLA
Teesside,United Kingdom,54.50920104980469,-1.4294099807739258,MME
Montpellier,France,43.57619857788086,3.96301007270813,MPL
Marseille,France,43.439271922,5.22142410278,MRS
Minsk 2,Belarus,53.882499694824,28.030700683594,MSQ
Munich,Germany,48.353802,11.7861,MUC
Munich,Germany,48.353802,11.7861,MUC
Munich,Germany,48.353802,11.7861,MUC
Milano,Italy,45.6306,8.728110000000001,MXP
Milano,Italy,45.6306,8.728110000000001,MXP
Naples,Italy,40.886002000000005,14.2908,NAP
Naples,Italy,40.886002000000005,14.2908,NAP
Nice,France,43.658401489300005,7.215869903560001,NCE
Nice,France,43.658401489300005,7.215869903560001,NCE
Nice,France,43.658401489300005,7.215869903560001,NCE
Newcastle,United Kingdom,55.03749847412109,-1.6916699409484863,NCL
Nantes,France,47.15319824220001,-1.61073005199,NTE
Nuernberg,Germany,49.498699,11.078056,NUE
Norwich,United Kingdom,52.675800323500006,1.28278005123,NWI
Olbia,Italy,40.898701,9.51763,OLB
Porto,Portugal,41.2481002808,-8.68138980865,OPO
Porto,Portugal,41.2481002808,-8.68138980865,OPO
Cork,Ireland,51.84130096435547,-8.491109848022461,ORK
Cork,Ireland,51.84130096435547,-8.491109848022461,ORK
Paris,France,48.7233333,2.3794444,ORY
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Bucharest,Romania,44.5711111,26.085,OTP
Bucharest,Romania,44.5711111,26.085,OTP
Bucharest,Romania,44.5711111,26.085,OTP
Palma de Mallorca,Spain,39.551700592,2.73881006241,PMI
Poznan,Poland,52.4210014343,16.8262996674,POZ
Prague,Czech Republic,50.1008,14.26,PRG
Prague,Czech Republic,50.1008,14.26,PRG
Pisa,Italy,43.683899,10.3927,PSA
Riga,Latvia,56.92359924316406,23.971099853515625,RIX
Rennes,France,48.0694999695,-1.73478996754,RNS
Rotterdam,Netherlands,51.956902,4.43722,RTM
Istanbul,Turkey,40.898601532,29.3092002869,SAW
Istanbul,Turkey,40.898601532,29.3092002869,SAW
Santiago,Spain,42.89630126953125,-8.415140151977539,SCQ
Skelleftea,Sweden,64.62480163574219,21.07690048217773,SFT
Thessaloniki,Greece,40.51969909667969,22.97089958190918,SKG
Sofia,Bulgaria,42.69669342041016,23.411436080932614,SOF
Southampton,United Kingdom,50.95029830932617,-1.3567999601364136,SOU
London,United Kingdom,51.8849983215,0.234999999404,STN
London,United Kingdom,51.8849983215,0.234999999404,STN
London,United Kingdom,51.8849983215,0.234999999404,STN
Stuttgart,Germany,48.6898994446,9.22196006775,STR
Stuttgart,Germany,48.6898994446,9.22196006775,STR
Stavanger,Norway,58.876701354,5.637780189500001,SVG
Moscow,Russia,55.972599,37.4146,SVO
Moscow,Russia,55.972599,37.4146,SVO
Moscow,Russia,55.972599,37.4146,SVO
Moscow,Russia,55.972599,37.4146,SVO
Sevilla,Spain,37.41799926757813,-5.8931097984313965,SVQ
Strasbourg,France,48.53829956054688,7.628230094909668,SXB
Salzburg,Austria,47.7933006287,13.0043001175,SZG
Salzburg,Austria,47.7933006287,13.0043001175,SZG
Tbilisi,Georgia,41.6692008972,44.95470047,TBS
Tallinn-ulemiste International,Estonia,59.41329956049999,24.8327999115,TLL
Toulouse,France,43.629101,1.36382,TLS
Trondheim,Norway,63.45780179999999,10.9239998,TRD
Sandefjord,Norway,59.1866989136,10.258600235,TRF
Torino,Italy,45.200802,7.64963,TRN
Venice,Italy,45.505299,12.3519,VCE
Venice,Italy,45.505299,12.3519,VCE
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Valencia,Spain,39.4893,-0.481625,VLC
Valencia,Spain,39.4893,-0.481625,VLC
Valencia,Spain,39.4893,-0.481625,VLC
Vilnius,Lithuania,54.634102,25.285801,VNO
Villafranca,Italy,45.395699,10.8885,VRN
Warsaw,Poland,52.1656990051,20.9671001434,WAW
Warsaw,Poland,52.1656990051,20.9671001434,WAW
Wroclaw,Poland,51.10269927979999,16.885799408,WRO
Zagreb,Croatia,45.742900848400005,16.0687999725,ZAG
Zagreb,Croatia,45.742900848400005,16.0687999725,ZAG
Zurich,Switzerland,47.464699,8.54917,ZRH
Zurich,Switzerland,47.464699,8.54917,ZRH
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aarhus,Denmark,56.2999992371,10.619000434899998,AAR
Altenrhein,Switzerland,47.4850006104,9.560770034789998,ACH
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Antalya,Turkey,36.898701,30.800501,AYT
Antalya,Turkey,36.898701,30.800501,AYT
Barcelona,Spain,41.2971,2.07846,BCN
Bergamo,Italy,45.673901,9.70417,BGY
Budapest,Hungary,47.42976,19.261093,BUD
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Copenhagen,Denmark,55.617900848389,12.656000137329,CPH
Dublin,Ireland,53.421299,-6.27007,DUB
East Midlands,United Kingdom,52.8311004639,-1.32806003094,EMA
Vagar,Faroe Islands,62.0635986328125,-7.277219772338867,FAE
Rome,Italy,41.8002778,12.2388889,FCO
Frankfurt,Germany,50.033333,8.570556,FRA
Gdansk,Poland,54.37760162353516,18.46619987487793,GDN
Grenoble,France,45.36289978027344,5.329370021820068,GNB
Gothenborg,Sweden,57.662799835205,12.279800415039,GOT
Helsinki,Finland,60.317199707031,24.963300704956,HEL
Iasi,Romania,47.17850112915039,27.6205997467041,IAS
Kiev,Ukraine,50.40194,30.451940000000004,IEV
Istanbul,Turkey,40.976898,28.8146,ISL
Istanbul,Turkey,41.275278,28.751944,IST
Istanbul,Turkey,41.275278,28.751944,IST
Joenkoeping,Sweden,57.75759887695313,14.068699836730955,JKG
Keflavik,Iceland,63.985000610352,-22.605600357056,KEF
Krakow,Poland,50.077702,19.7848,KRK
Krakow,Poland,50.077702,19.7848,KRK
Leipzig,Germany,51.423889,12.236389,LEJ
Leipzig,Germany,51.423889,12.236389,LEJ
Lisbon,Portugal,38.7813,-9.13592,LIS
Manchester,United Kingdom,53.35369873046875,-2.2749500274658203,MAN
Malta,Malta,35.857498,14.4775,MLA
Malta,Malta,35.857498,14.4775,MLA
Malmoe,Sweden,55.53630536399999,13.3761978149,MMX
Malmoe,Sweden,55.53630536399999,13.3761978149,MMX
Paris,France,48.7233333,2.3794444,ORY
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Oslo,Norway,60.121,11.0502,OSL
Bucharest,Romania,44.5711111,26.085,OTP
Prague,Czech Republic,50.1008,14.26,PRG
Riga,Latvia,56.92359924316406,23.971099853515625,RIX
Laage,Germany,53.9182014465,12.2783002853,RLG
Thessaloniki,Greece,40.51969909667969,22.97089958190918,SKG
London,United Kingdom,51.8849983215,0.234999999404,STN
Sevilla,Spain,37.41799926757813,-5.8931097984313965,SVQ
Salzburg,Austria,47.7933006287,13.0043001175,SZG
Treviso,Italy,45.648399,12.1944,TSF
Vienna,Austria,48.110298156738,16.569700241089002,VIE
Vilnius,Lithuania,54.634102,25.285801,VNO
Villafranca,Italy,45.395699,10.8885,VRN
Warsaw,Poland,52.1656990051,20.9671001434,WAW
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aalborg,Denmark,57.0927589138,9.84924316406,AAL
Aarhus,Denmark,56.2999992371,10.619000434899998,AAR
Aarhus,Denmark,56.2999992371,10.619000434899998,AAR
Aarhus,Denmark,56.2999992371,10.619000434899998,AAR
Alesund,Norway,62.5625,6.119699954986572,AES
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Malaga,Spain,36.67490005493164,-4.499110221862793,AGP
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Alicante,Spain,38.28219985961914,-0.5581560134887695,ALC
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Stockholm,Sweden,59.651901245117,17.918600082397,ARN
Athens,Greece,37.9364013672,23.9444999695,ATH
Athens,Greece,37.9364013672,23.9444999695,ATH
Antalya,Turkey,36.898701,30.800501,AYT
Antalya,Turkey,36.898701,30.800501,AYT
Barcelona,Spain,41.2971,2.07846,BCN
Barcelona,Spain,41.2971,2.07846,BCN
Barcelona,Spain,41.2971,2.07846,BCN
